dataset,param_set,channel,group_label,reaction,reaction_latex,pathway_weight,line_name,line_label,wavelength_nm,line_area,line_strength_norm,link_weight
diameter,1mm,Middle,diameter | 1mm | Middle,Ar* + N2 -> Ar + N2(C),$Ar^{*} + N_2 \rightarrow Ar + N_2(C)$,0.0,Ar_750,$Ar$ (750.4 nm),750.4,,0.0,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,0.0,N2plus_391,$N_2^{+}$ (391.44 nm),391.44,0.0,0.0,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,0.0,N2CB_394.2,$N_2(C \rightarrow B)$ (394.2 nm),394.2,1.0075000000000001e-05,0.8876651982378851,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,0.0,N2CB_399.7,$N_2(C \rightarrow B)$ (399.7 nm),399.7,5.150000000000002e-07,0.04537444933920704,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2 -> 2e + N2+,$e + N_2 \rightarrow 2e + N_2^{+}$,0.0,N2plus_428,$N_2^{+}$ (428.0 nm),428.0,1.1350000000000005e-05,1.0,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.0,N2_337,$N_2$ (337.0 nm),337.0,1.0500000000000038e-05,0.9251101321585933,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.0,N2CB_353.6,$N_2(C \rightarrow B)$ (353.6 nm),353.6,0.0,0.0,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.0,N2CB_357.6,$N_2(C \rightarrow B)$ (357.6 nm),357.6,0.0,0.0,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.0,N2CB_370.9,$N_2(C \rightarrow B)$ (370.9 nm),370.9,0.0,0.0,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2 -> e + N2(C),$e + N_2 \rightarrow e + N_2(C)$,0.0,N2_379,$N_2$ (379.0 nm),379.0,2.9499999999999904e-06,0.2599118942731268,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2+ -> e + N2+(B),$e + N_2^{+} \rightarrow e + N_2^{+}(B)$,0.0,N2plus_391,$N_2^{+}$ (391.44 nm),391.44,0.0,0.0,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2+ -> e + N2+(B),$e + N_2^{+} \rightarrow e + N_2^{+}(B)$,0.0,N2CB_399.7,$N_2(C \rightarrow B)$ (399.7 nm),399.7,5.150000000000002e-07,0.04537444933920704,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2+ -> e + N2+(B),$e + N_2^{+} \rightarrow e + N_2^{+}(B)$,0.0,N2CB_405.8,$N_2(C \rightarrow B)$ (405.8 nm),405.8,1.4449999999999997e-06,0.1273127753303964,0.0
diameter,1mm,Middle,diameter | 1mm | Middle,e + N2+ -> e + N2+(B),$e + N_2^{+} \rightarrow e + N_2^{+}(B)$,0.0,N2plus_428,$N_2^{+}$ (428.0 nm),428.0,1.1350000000000005e-05,1.0,0.0
diameter,1mm,Tip,diameter | 1mm | Tip,Ar* + N2 -> Ar + N2(C),$Ar^{*} + N_2 \rightarrow Ar + N_2(C)$,0.0,N2_337,$N_2$ (337.0 nm),337.0,6.049999999999998e-06,1.0,0.0
diameter,1mm,Tip,diameter | 1mm | Tip,Ar* + N2 -> Ar + N2(C),$Ar^{*} + N_2 \rightarrow Ar + N_2(C)$,0.0,N2CB_353.6,$N_2(C \rightarrow B)$ (353.6 nm),353.6,0.0,0.0,0.0
diameter,1mm,Tip,diameter | 1mm | Tip,Ar* + N2 -> Ar + N2(C),$Ar^{*} + N_2 \rightarrow Ar + N_2(C)$,0.0,Ar_750,$Ar$ (750.4 nm),750.4,,0.0,0.0
diameter,1mm,Tip,diameter | 1mm | Tip,O + H2O_trace -> 2OH,$O + H_2O_{trace} \rightarrow 2OH$,0.0046296296296296,OH_308,$OH$ (308.0 nm),308.0,6.499999999999959e-09,0.0010743801652892497,0.0046296296296296
diameter,1mm,Tip,diameter | 1mm | Tip,O + H2O_trace -> 2OH,$O + H_2O_{trace} \rightarrow 2OH$,0.0046296296296296,O_777,$O$ (777.2 nm),777.2,,0.0,0.0
