dataset,param_set,channel,wavelength_nm,irradiance_mean,irradiance_std,n_curves
diameter,0.5mm,Middle,385.0,3.39e-06,,1
diameter,0.5mm,Middle,386.0,1.13e-05,,1
diameter,0.5mm,Middle,387.0,3.85e-05,,1
diameter,0.5mm,Middle,388.0,9.98e-05,,1
diameter,0.5mm,Middle,389.0,0.000165,,1
diameter,0.5mm,Middle,390.0,0.000194,,1
diameter,0.5mm,Middle,391.0,0.000191,,1
diameter,0.5mm,Middle,392.0,0.000166,,1
diameter,0.5mm,Middle,393.0,0.00012,,1
diameter,0.5mm,Middle,394.0,6.06e-05,,1
diameter,0.5mm,Middle,395.0,1.52e-05,,1
diameter,0.5mm,Middle,396.0,1.22e-06,,1
diameter,0.5mm,Middle,397.0,5.18e-06,,1
diameter,0.5mm,Middle,398.0,1.2e-05,,1
diameter,0.5mm,Middle,399.0,1.16e-05,,1
diameter,0.5mm,Middle,400.0,3.29e-06,,1
diameter,0.5mm,Middle,401.0,1.03e-07,,1
diameter,0.5mm,Middle,402.0,4.49e-06,,1
