peak_rank,dataset,param_set,channel,n_curves,peak_wavelength_nm_grid,peak_wavelength_nm_refined,peak_wavelength_nm_0p1,peak_intensity,peak_intensity_refined,candidate_rank,delta_nm,nist_wavelength_nm,nist_obs_wl_nm,nist_ritz_wl_nm,nist_aki_s-1,nist_acc,nist_transition_type,nist_spectra_query,nist_element,nist_ion_stage,nist_species,nist_transition,nist_rel_intensity,nist_source
2,diameter,1mm,0.5 cm below,1,391.0,391.2959183673469,391.3,1.12e-05,1.1285816326530612e-05,2,0.08930000000003702,391.2107,391.2107,391.2117,14100000.0,B,,O II,O,II,O II,,14100000.0,live_nist
2,diameter,1mm,0.5 cm below,1,391.0,391.2959183673469,391.3,1.12e-05,1.1285816326530612e-05,3,0.10430000000002337,391.1957,391.1957,391.1958,109000000.0,B+,,O II,O,II,O II,,109000000.0,live_nist
3,diameter,1mm,0.5 cm below,1,356.0,356.43954050785976,356.4,1.1e-05,1.1798864873035066e-05,1,0.03333000000003494,356.43333,356.43333,356.433292,,,,Ar II,Ar,II,Ar II,,,live_nist
3,diameter,1mm,0.5 cm below,1,356.0,356.43954050785976,356.4,1.1e-05,1.1798864873035066e-05,2,0.07140999999995756,356.32859,,356.32859,120000.0,D,,Ar I,Ar,I,Ar I,,120000.0,live_nist
3,diameter,1mm,0.5 cm below,1,356.0,356.43954050785976,356.4,1.1e-05,1.1798864873035066e-05,3,0.08957629999997607,356.3104237,,356.3104237,53735.0,AAA,,He I,He,I,He I,,53735.0,live_nist
4,diameter,1mm,0.5 cm below,1,380.0,380.11423220973785,380.1,6.91e-06,6.927420411985018e-06,1,0.10319999999995844,380.2032,380.2032,380.2025,,,,O II,O,II,O II,,,live_nist
4,diameter,1mm,0.5 cm below,1,380.0,380.11423220973785,380.1,6.91e-06,6.927420411985018e-06,2,0.16189000000002807,379.93811,379.93811,379.938187,17000000.0,C,,Ar II,Ar,II,Ar II,,17000000.0,live_nist
4,diameter,1mm,0.5 cm below,1,380.0,380.11423220973785,380.1,6.91e-06,6.927420411985018e-06,3,0.19849999999996726,380.2985,380.2985,380.2984,34100000.0,C,,O II,O,II,O II,,34100000.0,live_nist
5,diameter,1mm,0.5 cm below,1,314.0,314.20344827586206,314.2,3.61e-06,3.6700172413793104e-06,1,0.10370000000000346,314.0963,314.0963,314.097313,,,,Ar II,Ar,II,Ar II,,,live_nist
5,diameter,1mm,0.5 cm below,1,314.0,314.20344827586206,314.2,3.61e-06,3.6700172413793104e-06,2,0.18909999999999627,314.3891,314.3891,314.389502,,,,Ar II,Ar,II,Ar II,,,live_nist
5,diameter,1mm,0.5 cm below,1,314.0,314.20344827586206,314.2,3.61e-06,3.6700172413793104e-06,3,0.2319999999999709,313.968,313.968,313.9678,76400000.0,C,,O II,O,II,O II,,76400000.0,live_nist
6,diameter,1mm,0.5 cm below,1,340.0,339.6334106728538,339.6,1.72e-06,1.8358422273781903e-06,1,0.10019999999997253,339.7002,339.7002,339.700197,,,,Ar II,Ar,II,Ar II,,,live_nist
6,diameter,1mm,0.5 cm below,1,340.0,339.6334106728538,339.6,1.72e-06,1.8358422273781903e-06,2,0.16079999999999472,339.7608,339.7608,339.761093,,,,Ar II,Ar,II,Ar II,,,live_nist
6,diameter,1mm,0.5 cm below,1,340.0,339.6334106728538,339.6,1.72e-06,1.8358422273781903e-06,3,0.1895399999999654,339.78954,339.78954,339.789536,2700000.0,D,,Ar II,Ar,II,Ar II,,2700000.0,live_nist
7,diameter,1mm,0.5 cm below,1,404.0,404.3838174273859,404.4,1.61e-06,1.6987577800829875e-06,1,0.041800000000023374,404.4418,404.4418,404.441804,330000.0,B,,Ar I,Ar,I,Ar I,,330000.0,live_nist
7,diameter,1mm,0.5 cm below,1,404.0,404.3838174273859,404.4,1.61e-06,1.6987577800829875e-06,2,0.04699999999996862,404.353,404.353,,,,,N II,N,II,N II,,,live_nist
7,diameter,1mm,0.5 cm below,1,404.0,404.3838174273859,404.4,1.61e-06,1.6987577800829875e-06,3,0.09420000000000073,404.4942,404.4942,404.49476,,,,O II,O,II,O II,,,live_nist
8,diameter,1mm,0.5 cm below,1,352.0,352.0364583333333,352.0,5.34e-07,5.343828125e-07,1,0.0006700000000137152,351.99933,351.99933,351.999331,52000000.0,B,,Ar II,Ar,II,Ar II,,52000000.0,live_nist
8,diameter,1mm,0.5 cm below,1,352.0,352.0364583333333,352.0,5.34e-07,5.343828125e-07,2,0.10700000000002774,351.893,351.893,351.8922,,,,Ar II,Ar,II,Ar II,,,live_nist
8,diameter,1mm,0.5 cm below,1,352.0,352.0364583333333,352.0,5.34e-07,5.343828125e-07,3,0.12599999999997635,352.126,352.126,352.12599,22700000.0,B,,Ar II,Ar,II,Ar II,,22700000.0,live_nist
9,diameter,1mm,0.5 cm below,1,260.0,259.96153846153845,260.0,5.23e-07,5.230096153846154e-07,1,0.09559999999999036,260.0956,260.0956,260.095957,,,,Ar II,Ar,II,Ar II,,,live_nist
10,diameter,1mm,0.5 cm below,1,310.0,309.75555555555553,309.8,2.62e-07,2.6737777777777777e-07,1,0.052300000000002456,309.7477,309.7477,309.7471,,,,O II,O,II,O II,,,live_nist
10,diameter,1mm,0.5 cm below,1,310.0,309.75555555555553,309.8,2.62e-07,2.6737777777777777e-07,2,0.19249999999999545,309.9925,309.9925,309.992564,,,,Ar II,Ar,II,Ar II,,,live_nist
10,diameter,1mm,0.5 cm below,1,310.0,309.75555555555553,309.8,2.62e-07,2.6737777777777777e-07,3,0.3003999999999678,310.1004,310.1004,310.100855,,,,Ar II,Ar,II,Ar II,,,live_nist
1,diameter,1mm,Base,1,336.0,335.8541666666667,335.9,0.000174,0.00017451041666666667,1,0.11050000000000182,336.0105,336.0105,336.0083,,,,O II,O,II,O II,,,live_nist
1,diameter,1mm,Base,1,336.0,335.8541666666667,335.9,0.000174,0.00017451041666666667,2,0.127900000000011,336.0279,336.0279,336.0281,,,,O II,O,II,O II,,,live_nist
1,diameter,1mm,Base,1,336.0,335.8541666666667,335.9,0.000174,0.00017451041666666667,3,0.16160000000002128,336.0616,,336.0616,,,,O II,O,II,O II,,,live_nist
2,diameter,1mm,Base,1,356.0,355.8215434083601,355.8,6.96e-05,7.009521704180064e-05,1,0.10962000000000671,355.69038,355.69038,355.690383,5000000.0,B,,Ar II,Ar,II,Ar II,,5000000.0,live_nist
2,diameter,1mm,Base,1,356.0,355.8215434083601,355.8,6.96e-05,7.009521704180064e-05,2,0.15078999999997222,355.95079,355.95079,355.95078,288000000.0,B,,Ar II,Ar,II,Ar II,,288000000.0,live_nist
2,diameter,1mm,Base,1,356.0,355.8215434083601,355.8,6.96e-05,7.009521704180064e-05,3,0.30302999999997837,356.10303,356.10303,356.103016,400000000.0,D,,Ar II,Ar,II,Ar II,,400000000.0,live_nist
